Data from E:\petalosbyr.txt 11/10/2023  12:08:23 p.m.  


number of specimens,  116 
number of landmarks,  22 
number of dimensions,  2 
number of non-zero PCs,  40 


Procrustes output
,,X 1 ,Y 1 ,X 2 ,Y 2 ,X 3 ,Y 3 ,X 4 ,Y 4 ,X 5 ,Y 5 ,X 6 ,Y 6 ,X 7 ,Y 7 ,X 8 ,Y 8 ,X 9 ,Y 9 ,X 10 ,Y 10 ,X 11 ,Y 11 ,X 12 ,Y 12 ,X 13 ,Y 13 ,X 14 ,Y 14 ,X 15 ,Y 15 ,X 16 ,Y 16 ,X 17 ,Y 17 ,X 18 ,Y 18 ,X 19 ,Y 19 ,X 20 ,Y 20 ,X 21 ,Y 21 ,X 22 ,Y 22 ,
 1            ,B1           , 2.55039824544402E-02 , 0.353196452463617 ,-3.87514829385475E-02 , 0.290088400995625 ,-6.05524427722528E-02 , 0.228127770522198 ,-7.31740498717602E-02 , 0.163872302107533 ,-8.35008190032355E-02 , 0.100764253085028 ,-8.12059780861044E-02 , 3.53613662586346E-02 ,-7.08792038727178E-02 ,-2.88941012403703E-02 ,-5.71101725928258E-02 ,-9.42969876089337E-02 ,-3.87514650374008E-02 ,-0.158552454493772 ,-2.03927571425068E-02 ,-0.223955340679203 ,-1.46556592504362E-02 ,-0.28821080836134 ,-7.77114230567511E-03 ,-0.353613695004601 , 3.70304578692476E-03 ,-0.28935822663572 , 1.17349769045852E-02 ,-0.226250177704781 , 1.51772312698946E-02 ,-0.159699871642565 , 3.23885147822839E-02 ,-9.77392410585834E-02 , 5.41894745702062E-02 ,-3.46311915782484E-02 , 6.91059200229976E-02 , 2.84768579210746E-02 , 8.05801080698144E-02 , 9.38797450031777E-02 , 8.74646199784473E-02 , 0.154692956168205 , 8.86120366236277E-02 , 0.221243262138855 , 7.82852624102412E-02 , 0.285498729344173 ,
 2            ,B2           , 0.013702224275372 , 0.348955016673987 ,-0.043971920341239 , 0.287728713837322 ,-7.07470335040063E-02 , 0.224543846662166 ,-8.38000570183669E-02 , 0.161504957552258 ,-8.88485283493443E-02 , 9.85512223125587E-02 ,-8.58802823902808E-02 , 3.45391334529097E-02 ,-7.60509917408387E-02 ,-2.93999663755391E-02 ,-5.93606561333684E-02 ,-9.32660771699404E-02 ,-4.26703205258981E-02 ,-0.157132187964342 ,-2.94105073974419E-02 ,-0.221034793275767 ,-2.30117389593642E-02 ,-0.285010387618392 ,-1.20389408197648E-02 ,-0.348937322340183 ,-5.8469619957826E-03 ,-0.285971422261475 , 8.34956901158268E-03 ,-0.22292036831256 , 2.48331150049575E-02 ,-0.159844984685628 , 4.93212131817154E-02 ,-9.66844471884884E-02 , 7.15466263181295E-02 ,-3.58352543525267E-02 , 8.91615149655011E-02 , 2.83958016064176E-02 , 9.87718511618396E-02 , 9.25417036923064E-02 , 0.100377635174795 , 0.156602451907987 , 9.17040165897156E-02 , 0.219410209079592 , 7.38701734920879E-02 , 0.283264154767335 ,
 3            ,B3           , 1.55269920684893E-02 , 0.351308976727367 ,-4.34973532528584E-02 , 0.291387731639079 ,-6.71940872142681E-02 , 0.22707133799889 ,-7.61269340141336E-02 , 0.164281378609863 ,-7.73318657104322E-02 , 0.100529980404641 ,-7.52248337192555E-02 , 3.63665369835617E-02 ,-6.53898869065286E-02 ,-2.87583454733217E-02 ,-5.11389886465061E-02 ,-9.44326212797315E-02 ,-3.56467539913675E-02 ,-0.159140257522399 ,-2.67784464915703E-02 ,-0.22302380361537 ,-2.35674267717772E-02 ,-0.287324595420932 ,-1.71817920310083E-02 ,-0.353141420390575 ,-7.00760908683949E-03 ,-0.289384821406602 , 7.71987365790394E-03 ,-0.225073628294351 , 2.24473566534601E-02 ,-0.160762435213305 , 0.042557430158429 ,-9.82419718144925E-02 , 6.39088400273101E-02 ,-3.47548691027506E-02 , 7.97403107514828E-02 , 2.94189755938132E-02 , 8.86731573005355E-02 , 0.092208935014044 , 9.20860647048799E-02 , 0.155685636419097 , 0.084459093568995 , 0.220535821824998 , 6.89668589450603E-02 , 0.285243458318478 ,
 4            ,B4           ,-8.26822526104724E-04 , 0.350090702608968 ,-4.31053281903187E-02 , 0.289383930986905 ,-6.75378417047324E-02 , 0.226667281999117 ,-8.08374937112698E-02 , 0.162274888572935 ,-8.28372172145995E-02 , 9.95633163882115E-02 ,-7.70606443646161E-02 , 3.53430669911824E-02 ,-6.79275063473142E-02 ,-2.90442493756679E-02 ,-5.09623828116631E-02 ,-9.38213878221323E-02 ,-3.62349693233943E-02 ,-0.158487148720078 ,-2.93395415969856E-02 ,-0.222763087269388 ,-2.56893009768443E-02 ,-0.284634248827005 ,-2.89749463391756E-02 ,-0.350646697283032 ,-7.89899773581422E-03 ,-0.287762981338177 , 6.51950940341466E-03 ,-0.223426277077032 , 2.65322915010782E-02 ,-0.159368017321472 , 5.09091163757432E-02 ,-9.77702232356187E-02 , 0.073103919868285 ,-3.49421961867789E-02 , 8.85855932441905E-02 , 2.82199640201497E-02 , 9.73541360164375E-02 , 9.17162579232098E-02 , 9.94095484285372E-02 , 0.15554668525338 , 9.02764103984801E-02 , 0.219934001363964 , 6.65424676066667E-02 , 0.283926418348358 ,
 5            ,B5           , 2.46824110502741E-02 , 0.352678860055182 ,-4.26262612542328E-02 , 0.290116731777375 ,-7.10540698372978E-02 , 0.22706021232911 ,-8.21865338189308E-02 , 0.164672810583619 ,-8.66154713312371E-02 , 0.101212350635788 ,-8.08102767510459E-02 , 3.72595579438759E-02 ,-6.94188101565608E-02 ,-2.75874499096931E-02 ,-5.11449743546946E-02 ,-9.23902617296808E-02 ,-3.39883929661027E-02 ,-0.157014230248115 ,-0.024831435020813 ,-0.221503552062077 ,-2.14395921305003E-02 ,-0.286215913169414 ,-1.59920836316752E-02 ,-0.352403214771391 ,-4.50193361043445E-03 ,-0.287781304376705 , 7.92662760604427E-03 ,-0.224455491175106 , 2.35281091469383E-02 ,-0.162783461550589 , 4.52523912606767E-02 ,-9.86538838999838E-02 , 6.55017330988862E-02 ,-3.65799721605194E-02 , 7.81091375751597E-02 , 2.78630951934838E-02 , 9.03588557509554E-02 , 0.09007165394005 , 9.14360304199037E-02 , 0.154068642926413 , 8.69269330745581E-02 , 0.218959847074433 , 7.08876058801289E-02 , 0.283404972593943 ,
 6            ,B6           , 1.94487135720188E-02 , 0.35211766876411 ,-4.34969407864466E-02 , 0.2903301575114 ,-6.42597634771469E-02 , 0.226971182620701 ,-7.82946688226926E-02 , 0.163943005012774 ,-8.34017493293138E-02 , 0.100989239193704 ,-7.87374362528173E-02 , 3.57817846011557E-02 ,-6.94169213604106E-02 ,-2.77385333766273E-02 ,-5.58247831841783E-02 ,-0.092871576210716 ,-3.88045899770871E-02 ,-0.157289243660381 ,-2.96122681228467E-02 ,-0.221909515615464 ,-2.26198539927916E-02 ,-0.286273401785422 ,-1.27121562021092E-02 ,-0.354321728571345 ,-6.20773317245547E-04 ,-0.288837257393316 , 9.14250903568174E-03 ,-0.22419635469867 , 2.09775063354392E-02 ,-0.160911791796844 , 4.39402370415319E-02 ,-9.78092024608551E-02 , 6.34749126863697E-02 ,-3.54219887701006E-02 , 8.20378271008665E-02 , 2.81933717057053E-02 , 9.27728704233237E-02 , 9.16061276456967E-02 , 0.092380180861068 , 0.155200857090732 , 8.41596199763575E-02 , 0.21859298229116 , 0.069467527792429 , 0.283854217902604 ,
 7            ,B7           , 1.74047355910546E-02 , 0.353165127111274 ,-0.036155137198588 , 0.290795974682314 ,-5.62846184431522E-02 , 0.226124128206945 ,-6.84601618152567E-02 , 0.163143679312006 ,-0.07848376905515 , 9.88953709238265E-02 ,-7.72871557047843E-02 , 3.49938444031299E-02 ,-6.82901177046611E-02 ,-2.94449776543603E-02 ,-0.055950040505936 ,-9.41140688571931E-02 ,-4.24956170007039E-02 ,-0.158859916522844 ,-3.12698863875669E-02 ,-0.223452251505971 ,-2.45782977063882E-02 ,-0.28885190666525 ,-3.40020575312009E-03 ,-0.355249396192187 , 3.35711850787721E-03 ,-0.289656472073076 , 8.92334026064614E-03 ,-0.225101137815639 , 1.99845373262437E-02 ,-0.162043932457881 , 3.67709791290935E-02 ,-9.71418165580891E-02 , 5.68237039108395E-02 ,-3.35843163892274E-02 , 7.35333892328866E-02 , 3.02034529429611E-02 , 8.46713427792869E-02 , 9.43750048683225E-02 , 8.78553587143241E-02 , 0.15685515919527 , 8.33924626641437E-02 , 0.22210130169001 , 6.99380391589116E-02 , 0.286847149355661 ,
 8            ,B8           , 1.25092979214141E-02 , 0.351151656144865 ,-4.64464495445866E-02 , 0.289249229254598 ,-7.21169792827047E-02 , 0.226743655712842 ,-8.33712203361723E-02 , 0.164457261178241 ,-8.46112340578091E-02 , 0.100104715658158 ,-8.03065215754018E-02 , 3.58364701264715E-02 ,-6.93481373694335E-02 ,-2.83306160083522E-02 ,-5.28450266856334E-02 ,-9.24134024203671E-02 ,-3.74508615131496E-02 ,-0.156513048780224 ,-2.98193133017556E-02 ,-0.220730714750373 ,-2.21709048810324E-02 ,-0.286057325688363 ,-2.34109186026691E-02 ,-0.350409871208446 ,-3.30197529022484E-03 ,-0.286879651878183 , 0.015714882458745 ,-0.224475238007077 , 2.36254278435842E-02 ,-0.161130478062073 , 4.59691215871282E-02 ,-9.86754843556421E-02 , 6.72038700849431E-02 ,-3.62373503232655E-02 , 8.28770324308719E-02 , 2.72254292320313E-02 , 9.41144135446981E-02 , 9.06207687385733E-02 , 9.75723177495926E-02 , 0.15500703414614 , 0.091066574723569 , 0.218132614818402 , 7.45466040960272E-02 , 0.283324346472045 ,
 9            ,B9           , 1.81792726030978E-02 , 0.350540601177825 ,-4.20569883542914E-02 , 0.288528858182343 ,-6.72904464470561E-02 , 0.225565870303223 ,-7.90003834737923E-02 , 0.161798415648011 ,-8.39485595590324E-02 , 9.76287277144418E-02 ,-7.97469768022142E-02 , 3.51766491564908E-02 ,-7.11716315226305E-02 ,-2.97975050350012E-02 ,-5.80214071128708E-02 ,-0.093912854923339 ,-4.26172620173594E-02 ,-0.158162282325282 ,-3.39748778792285E-02 ,-0.222009476715894 ,-2.53995326155293E-02 ,-0.286983631174412 ,-4.42762605491342E-03 ,-0.352695213016421 ,-2.79329156598975E-03 ,-0.287197448375765 , 7.78968537695483E-03 ,-0.223362955113149 , 2.40074626753199E-02 ,-0.159863655955664 , 4.47330802453137E-02 ,-9.66325122959065E-02 , 6.53916591920179E-02 ,-3.45283289869667E-02 , 8.16764753648146E-02 , 3.00979302384248E-02 , 9.10654530983938E-02 , 9.28725023234499E-02 , 9.48866691157268E-02 , 0.157109229131451 , 8.96251654483439E-02 , 0.220755306882883 , 7.30940602849253E-02 , 0.285071773159258 ,
 10           ,B10          , 7.97607287036099E-03 , 0.352486104814518 ,-4.54182962874782E-02 , 0.290457522460313 ,-6.57290580212522E-02 , 0.227778828947187 ,-7.82936835900234E-02 , 0.163001073702517 ,-8.03035083022904E-02 , 0.100352125973164 ,-7.34407561278842E-02 , 3.54651702596513E-02 ,-6.64390582335419E-02 ,-2.82953446664854E-02 ,-5.26787185083208E-02 ,-9.28895354480934E-02 ,-3.66654978067345E-02 ,-0.157761618136549 ,-2.76888111092156E-02 ,-0.224052905913045 ,-2.63193148896166E-02 ,-0.287118691436963 ,-2.73416453334657E-02 ,-0.351033025575069 ,-4.63905666990276E-03 ,-0.287505783480607 , 1.11659436109698E-02 ,-0.224271306485832 , 2.69709441910361E-02 ,-0.161036829257569 , 0.047281706191151 ,-9.83581357772954E-02 , 6.75924679249251E-02 ,-3.56794422641686E-02 , 8.22710279839559E-02 , 2.76939806511771E-02 , 9.35702674103145E-02 , 9.14842415945758E-02 , 9.45925975878227E-02 , 0.155398575765535 , 8.53380190163093E-02 , 0.219436982832007 , 6.81983580928813E-02 , 0.284448011441033 ,
